Inorgânico|-5.8342|-35.2030|Material de construção, cimento.|Escola de Saúde Coletiva, rotatória RU|Não perigosos inertes
Papel, inorgânico |-5.8346|-35.2031|Material de construção, papelão (sacos de cimento)|Próximo a Superintendência de Infraestrutura |Não perigosos não-inertes e Não perigosos inertes
Plástico, metal, inorgânico, papel|-5.8351|-35.2030|Garrafa de água, recipiente plástico de doce goiabada , material de construçã, papelão (sacos de cimento)|Próximo ao Ginásio UFRN|Perigosos, Não perigosos não-inertes e Não perigosos inertes
Plástico, papel |-5.8357|-35.2028|Copo descartável, saquinhos de doce, papelão (sacos de cimento)|Próximo ao Ginásio UFRN, lado da ciclovia|Não perigosos não-inertes
Plástico|-5.8363|-35.2022|Quentinha-isopor|Próximo a Residência da Pós, descida da ciclovia|Não perigosos não-inertes
Orgânico, plástico, papel|-5.8365|-35.2019|Material vegetal, canos PVC, copo descartável, caixa de papel, lata de tinta, garrafa de água|Parada da Educação Física|Não perigosos não-inertes
Orgânico, plástico, papel|-5.8370|-35.2017|Sacolas (plântulas), material vegetal, copo descartável, papelão|Próximo a Residência da Pós|Não perigosos não-inertes
Papel, metal |-5.8371|-35.2014|Papelão (sacos de cimento), latinha de refrigerante |Em frente ao campo de futebol, lado oposto ao campo.|Perigosos, Não perigosos não-inertes
Papel, inorgânico |-5.8377|-35.2010|Papelão (sacos de cimento), material de construção |Em frente a entrada do Dep. De Comunicação social|Não perigosos não-inertes e Não perigosos inertes
Plástico |-5.8379|-35.2009|Copo de suco industrializado, copo descartável |Calçada lateral do Dep. De Comunicação|Não perigosos não-inertes
Orgânico, plástico|-5.8382|-35.2009|Matéria vegetal, copo descartável, garrafa|Lateral do Dep. de Comunicação, próximo a parada da reitoria - inverso. |Não perigosos não-inertes
Plástico, metal |-5.8385|-35.2012|Garrafa, copo descartável, colher, canudo, embalagem de achocolatado, saco de pipoca, lata de refrigerante, pote de açaí.|Parada da Reitoria - inverso|Perigosos, Não perigosos não-inertes
Orgânico, plástico, metal , papel|-5.8387|-35.2014|Coco e canudo, material de construção, lainha de refrigerante, papelão (sacos de cimento)|Estacionamento Reitoria|Não perigosos não-inertes
Papel, plástico, orgânico|-5.8374|-35.2004|Papel, material vegetal, embalagem de biscoito, |Estacionamento Setor I, próx. Ao campo de futebol, em frente a placa do CCSA|Não perigosos não-inertes
Plástico |-5.8378|-35.2003|Embalagem de biscoito, copo descartável, isopor, embalagem trufas,|Praça Setor I, lado do campo de futebol|Não perigosos não-inertes
Plástico, metal|-5.8380|-35.1995|Garrafa de refrigerante, copo descartável, canudo, saco de pipoca, latinha de refrigerante, pote de açaí|Lateral da cantina do Setor I|Perigosos e Não perigosos não-inertes
Inorgânico , plástico |-5.8420|-35.2010|Material de construção, plástico, pote de açaí, garrafa, canudo|Entrada do CB - Prédio anexo |Não perigosos não-inertes , Não perigosos inertes
Papel, plástico|-5.8421|-35.2006|Papelão (caixa de papel ofício), copo descartável|Calçada que contorna a Florestinha. Em frente a entrada do Setor IV.|Não perigosos não-inertes
Papel, plástico, orgânico|-5.8431|-35.2000|Papelão, copo descartável, colher, canudo, garrafa, matéria orgânica, sacos de pipoca|Estacionamento do Setor IV|Não perigosos não-inertes
Papel, plástico|-5.8435|-35.1998|Garrafa , copo descartável, guardanapo|Parada ECT - direto|Não perigosos não-inertes
Papel, plástico|-5.8438|-35.1999|Colher, saco de pipoca, guardanapo|Parada ECT - inverso|Não perigosos não-inertes
Plástico|-5.8374|-35.1973|Pote de açaí, garrafa, colher, copo descartável|Parada Setor I - Anel viário|Não perigosos não-inertes
Plástico, orgânico|-5.8400|-35.1970|Copo descartável, matéria vegetal, garrafa|Setor II, lateral do bloco H |Não perigosos não-inertes
Papel, plástico, orgânico|-5.8397|-35.1957|Colher, tampa de garrafa, coco e canudo, guardanapo, prato descartável|Parada do Setor II - anel viário |Não perigosos não-inertes
Inorgânico, plástico |-5.8399|-35.1961|Material de construção, isopor, balde de plástico, mangueira de irrigação.|Parada do Setor II - descida p parada |Não perigosos não-inertes e Não perigosos inertes
Plástico|-5.8387|-35.1987|Copo, prato e colher descartável, garrafa|Praça Setor da Psicologia|Não perigosos não-inertes
